game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
60,2008-03-13,23-074,CLE,WAS,L (-2),43:23,9,22,.409,1,7,.143,6,8,.750,2,5,7,7,0,0,7,25,11.6,+3
61,2008-03-16,23-077,CLE,CHA,W (+7),41:40,11,24,.458,1,3,.333,10,16,.625,2,5,7,10,1,2,1,33,28.7,+17
62,2008-03-17,23-078,CLE,ORL,L (-14),42:14,11,22,.500,1,4,.250,7,11,.636,2,7,9,6,0,1,3,30,22.4,-7
63,2008-03-19,23-080,CLE,DET,W (+16),41:04,11,19,.579,2,5,.400,6,7,.857,3,4,7,6,1,1,0,30,29.9,+15
64,2008-03-21,23-082,CLE,TOR,W (+7),41:24,14,22,.636,1,3,.333,0,0,,0,12,12,5,1,0,5,29,21.9,-3
65,2008-03-22,23-083,CLE,MIL,L (-10),38:35,9,25,.360,3,9,.333,8,10,.800,4,7,11,4,2,0,4,29,18.8,-12
66,2008-03-26,23-087,CLE,NOH,L (-1),40:33,6,14,.429,1,2,.500,8,10,.800,0,3,3,8,2,2,2,21,19.9,-3
67,2008-03-29,23-090,CLE,DET,L (-14),35:18,4,17,.235,1,5,.200,4,6,.667,0,4,4,5,0,0,5,13,1.6,-19
68,2008-03-30,23-091,CLE,PHI,W (+3),41:47,11,18,.611,1,2,.500,3,3,1.000,3,6,9,9,3,1,1,26,29.1,+7
69,2008-04-02,23-094,CLE,CHA,W (+4),31:13,11,19,.579,1,4,.250,6,6,1.000,2,2,4,5,3,2,4,29,23.6,+3
70,2008-04-03,23-095,CLE,CHI,L (-3),38:30,10,24,.417,3,7,.429,10,14,.714,0,5,5,4,2,2,3,33,21.7,-1
71,2008-04-05,23-097,CLE,ORL,L (-15),42:22,6,22,.273,1,5,.200,4,8,.500,5,2,7,9,2,2,5,17,10.8,-15
72,2008-04-09,23-101,CLE,NJN,W (+21),35:22,11,21,.524,1,4,.250,10,13,.769,4,3,7,8,1,2,0,33,32.4,+10
73,2008-04-11,23-103,CLE,CHI,L (-5),38:11,13,21,.619,2,6,.333,6,12,.500,0,6,6,2,3,0,3,34,24.5,-10
74,2008-04-13,23-105,CLE,MIA,W (+8),35:15,3,9,.333,0,1,.000,7,9,.778,0,11,11,7,1,2,5,13,12.3,-3
75,2008-04-14,23-106,CLE,PHI,W (+1),41:41,10,18,.556,1,2,.500,6,12,.500,1,3,4,5,2,1,5,27,17.6,-5
1,2008-10-28,23-303,CLE,BOS,L (-5),36:00,9,21,.429,0,4,.000,4,8,.500,1,6,7,6,2,1,3,22,14.1,-3
2,2008-10-30,23-305,CLE,CHA,W (+17),30:16,7,15,.467,0,2,.000,8,12,.667,2,7,9,9,0,1,5,22,17.0,+10
3,2008-11-01,23-307,CLE,NOH,L (-12),37:43,6,15,.400,0,3,.000,3,4,.750,2,5,7,13,3,0,5,15,15.3,-8
4,2008-11-03,23-309,CLE,DAL,W (+19),34:08,8,20,.400,0,2,.000,13,15,.867,2,6,8,3,2,1,1,29,24.0,+13
5,2008-11-05,23-311,CLE,CHI,W (+14),35:50,13,23,.565,0,2,.000,15,16,.938,2,7,9,6,4,0,5,41,36.0,+22
6,2008-11-07,23-313,CLE,IND,W (+4),39:20,11,24,.458,1,6,.167,4,7,.571,2,7,9,8,1,4,4,27,21.5,-3
7,2008-11-08,23-314,CLE,CHI,W (+9),39:12,13,29,.448,4,7,.571,11,13,.846,4,9,13,4,0,0,2,41,31.0,+12
8,2008-11-11,23-317,CLE,MIL,W (+6),42:46,16,24,.667,1,4,.250,8,10,.800,0,5,5,6,3,0,2,41,35.7,+11
9,2008-11-13,23-319,CLE,DEN,W (+11),38:02,10,20,.500,0,0,,2,4,.500,1,7,8,11,3,0,5,22,18.1,+14
10,2008-11-15,23-321,CLE,UTA,W (+12),42:03,13,21,.619,3,7,.429,9,11,.818,3,2,5,7,2,2,2,38,35.9,+33
11,2008-11-18,23-324,CLE,NJN,W (+24),35:58,9,20,.450,1,4,.250,12,17,.706,0,8,8,4,0,1,3,31,20.3,+17
12,2008-11-19,23-325,CLE,DET,L (-7),39:30,8,21,.381,0,4,.000,9,10,.900,1,5,6,6,4,0,3,25,20.1,-5
13,2008-11-22,23-328,CLE,ATL,W (+14),36:35,8,19,.421,1,4,.250,7,7,1.000,1,6,7,8,2,0,2,24,20.8,+16
14,2008-11-25,23-331,CLE,NYK,W (+18),30:20,7,14,.500,3,7,.429,9,11,.818,0,4,4,1,1,1,1,26,20.8,+17
15,2008-11-26,23-332,CLE,OKC,W (+35),17:08,7,12,.583,0,1,.000,0,0,,0,3,3,3,1,3,0,14,14.5,+24
16,2008-11-28,23-334,CLE,GSW,W (+15),30:39,9,13,.692,3,4,.750,2,4,.500,1,6,7,8,3,1,2,23,25.7,+24
17,2008-11-29,23-335,CLE,MIL,W (+12),41:22,12,27,.444,1,5,.200,7,10,.700,1,6,7,5,2,1,3,32,21.2,+7
18,2008-12-03,23-339,CLE,NYK,W (+36),28:09,5,10,.500,1,4,.250,10,10,1.000,0,5,5,6,5,1,0,21,27.4,+30
19,2008-12-05,23-341,CLE,IND,W (+24),37:37,4,12,.333,0,4,.000,3,4,.750,2,6,8,11,1,3,2,11,15.0,+32
20,2008-12-06,23-342,CLE,CHA,W (+20),27:40,8,17,.471,2,4,.500,7,8,.875,2,3,5,4,2,2,3,25,20.2,+27
21,2008-12-09,23-345,CLE,TOR,W (+20),30:24,11,18,.611,2,5,.400,7,8,.875,0,5,5,4,3,0,2,31,27.3,+19
22,2008-12-10,23-346,CLE,PHI,W (+8),39:04,10,22,.455,2,6,.333,7,8,.875,2,2,4,5,0,2,1,29,21.5,-1
23,2008-12-12,23-348,CLE,PHI,W (+16),36:50,9,21,.429,1,4,.250,9,12,.750,3,4,7,7,1,3,0,28,26.2,+13
24,2008-12-13,23-349,CLE,ATL,L (-5),45:40,10,19,.526,2,7,.286,11,12,.917,2,4,6,9,4,1,1,33,35.1,+1
25,2008-12-17,23-353,CLE,MIN,W (+23),39:38,14,20,.700,2,6,.333,2,4,.500,0,6,6,3,2,2,0,32,29.7,+22
26,2008-12-19,23-355,CLE,DEN,W (+17),38:45,13,20,.650,0,2,.000,7,8,.875,3,7,10,8,0,0,6,33,26.4,+14
27,2008-12-21,23-357,CLE,OKC,W (+11),42:46,14,24,.583,2,4,.500,1,2,.500,2,2,4,7,3,1,3,31,26.6,+16
28,2008-12-23,23-359,CLE,HOU,W (+9),38:20,11,23,.478,0,3,.000,5,7,.714,1,8,9,5,3,1,7,27,17.0,+14
29,2008-12-25,23-361,CLE,WAS,W (+4),38:13,6,13,.462,0,2,.000,6,10,.600,0,5,5,6,3,1,3,18,15.7,-4
30,2008-12-28,23-364,CLE,MIA,W (+7),42:31,12,19,.632,2,4,.500,7,12,.583,0,6,6,9,0,1,2,33,28.9,+8
31,2008-12-30,24-000,CLE,MIA,L (-9),43:29,12,24,.500,3,8,.375,11,14,.786,0,2,2,7,0,2,5,38,25.9,-6
32,2009-01-02,24-003,CLE,CHI,W (+25),37:16,3,8,.375,2,3,.667,8,8,1.000,1,9,10,11,2,3,5,16,21.4,+27
33,2009-01-04,24-005,CLE,WAS,L (-3),40:46,11,22,.500,3,9,.333,5,8,.625,0,6,6,10,1,2,7,30,20.4,0
34,2009-01-07,24-008,CLE,CHA,W (+30),30:59,9,16,.563,0,1,.000,3,3,1.000,0,4,4,4,2,2,4,21,16.4,+23
35,2009-01-09,24-010,CLE,BOS,W (+15),35:49,13,25,.520,3,7,.429,9,9,1.000,1,6,7,6,4,3,3,38,34.7,+20
36,2009-01-13,24-014,CLE,MEM,W (+15),40:12,9,15,.600,1,5,.200,11,14,.786,0,11,11,10,3,1,2,30,33.1,+21
37,2009-01-15,24-016,CLE,CHI,L (-9),44:19,8,28,.286,1,6,.167,11,16,.688,3,11,14,7,1,1,8,28,12.0,+2
38,2009-01-16,24-017,CLE,NOH,W (+14),42:59,12,24,.500,0,2,.000,5,6,.833,3,11,14,7,3,1,4,29,25.4,+19
39,2009-01-19,24-020,CLE,LAL,L (-17),42:10,9,25,.360,1,5,.200,4,8,.500,2,7,9,4,4,1,6,23,12.1,-11
40,2009-01-21,24-022,CLE,POR,W (+6),42:02,14,30,.467,3,6,.500,3,4,.750,0,7,7,14,1,0,2,34,28.7,+14
41,2009-01-23,24-024,CLE,GSW,W (+1),40:39,10,24,.417,2,5,.400,10,16,.625,2,7,9,8,3,2,2,32,27.5,+12
42,2009-01-24,24-025,CLE,UTA,W (+5),41:08,14,27,.519,1,6,.167,4,6,.667,4,10,14,9,1,0,2,33,29.6,+16
43,2009-01-27,24-028,CLE,SAC,W (+7),37:31,5,10,.500,0,2,.000,13,15,.867,5,10,15,11,0,3,2,23,31.1,+6
44,2009-01-29,24-030,CLE,ORL,L (-11),37:41,10,27,.370,0,2,.000,3,6,.500,1,7,8,8,1,1,2,23,14.6,-9
45,2009-01-30,24-031,CLE,LAC,W (+17),37:08,9,17,.529,2,4,.500,5,6,.833,0,7,7,6,3,1,3,25,22.5,+32
46,2009-02-01,24-033,CLE,DET,W (+10),38:50,12,25,.480,3,8,.375,6,11,.545,4,0,4,8,1,1,5,33,22.2,-8
47,2009-02-03,24-035,CLE,TOR,W (+18),37:31,9,20,.450,2,5,.400,13,13,1.000,1,6,7,4,1,2,3,33,26.1,+23
48,2009-02-04,24-036,CLE,NYK,W (+5),44:03,17,33,.515,2,7,.286,16,19,.842,0,9,9,11,0,2,3,52,42.9,+7
49,2009-02-08,24-040,CLE,LAL,L (-10),40:08,5,20,.250,2,8,.250,4,8,.500,3,5,8,12,0,0,1,16,13.0,-12
50,2009-02-10,24-042,CLE,IND,L (-1),41:10,15,21,.714,4,7,.571,13,14,.929,0,7,7,4,1,1,7,47,37.1,+7
51,2009-02-11,24-043,CLE,PHO,W (+17),33:17,9,18,.500,1,5,.200,7,8,.875,2,4,6,6,2,1,3,26,22.7,+22
52,2009-02-18,24-050,CLE,TOR,W (+17),33:12,9,17,.529,0,3,.000,2,2,1.000,1,8,9,9,1,1,5,20,17.4,+20
53,2009-02-20,24-052,CLE,MIL,W (+8),40:04,16,29,.552,8,11,.727,15,22,.682,1,4,5,9,0,0,6,55,39.3,+13
54,2009-02-22,24-054,CLE,DET,W (+21),30:34,6,13,.462,0,3,.000,8,10,.800,0,5,5,9,2,1,0,20,23.0,+22
55,2009-02-24,24-056,CLE,MEM,W (+15),29:40,4,10,.400,1,2,.500,6,8,.750,0,5,5,8,0,1,2,15,14.2,+13
56,2009-02-26,24-058,CLE,HOU,L (-19),33:51,7,21,.333,2,5,.400,5,6,.833,0,1,1,0,1,2,3,21,6.8,-14
57,2009-02-27,24-059,CLE,SAS,W (+11),32:08,12,23,.522,3,6,.500,3,3,1.000,4,10,14,4,2,0,1,30,27.5,+29
58,2009-03-01,24-061,CLE,ATL,W (+1),43:43,8,20,.400,2,7,.286,8,14,.571,1,5,6,11,1,2,0,26,23.9,+4
59,2009-03-02,24-062,CLE,MIA,W (+7),43:40,13,21,.619,6,7,.857,10,10,1.000,1,7,8,4,1,1,6,42,32.2,+8
60,2009-03-04,24-064,CLE,MIL,W (+18),33:12,7,11,.636,4,5,.800,5,7,.714,1,7,8,4,1,0,3,23,20.1,+24
61,2009-03-06,24-066,CLE,BOS,L (-11),38:17,5,15,.333,2,5,.400,9,12,.750,0,6,6,5,1,0,4,21,13.2,-1
62,2009-03-07,24-067,CLE,MIA,W (+10),43:19,5,15,.333,0,3,.000,4,7,.571,2,8,10,12,1,1,2,14,16.2,+10
63,2009-03-10,24-070,CLE,LAC,W (+4),43:42,10,23,.435,0,6,.000,12,16,.750,4,9,13,11,2,2,4,32,30.1,+7
64,2009-03-12,24-072,CLE,PHO,W (+8),43:27,10,24,.417,3,8,.375,11,13,.846,6,4,10,13,3,3,3,34,37.0,+7
65,2009-03-13,24-073,CLE,SAC,W (+3),46:59,16,30,.533,4,11,.364,15,17,.882,0,4,4,9,2,3,3,51,43.4,+6
66,2009-03-15,24-075,CLE,NYK,W (+5),39:52,9,17,.529,0,3,.000,1,3,.333,1,7,8,10,4,3,3,19,22.4,-1
67,2009-03-17,24-077,CLE,ORL,W (+4),42:40,15,27,.556,4,7,.571,9,10,.900,2,10,12,8,4,1,6,43,38.0,+5
68,2009-03-19,24-079,CLE,POR,W (+5),46:47,10,22,.455,0,3,.000,6,11,.545,0,11,11,10,1,2,0,26,23.7,-1
69,2009-03-21,24-081,CLE,ATL,W (+6),40:03,9,21,.429,1,4,.250,3,5,.600,1,6,7,5,3,1,2,22,17.0,+10
70,2009-03-22,24-082,CLE,NJN,W (+8),39:09,9,17,.529,1,4,.250,11,15,.733,2,9,11,8,1,0,1,30,29.8,+14
71,2009-03-25,24-085,CLE,NJN,W (+11),39:06,7,14,.500,1,1,1.000,7,7,1.000,1,7,8,11,1,0,1,22,25.5,+19
72,2009-03-27,24-087,CLE,MIN,W (+22),33:36,8,14,.571,2,3,.667,7,10,.700,2,10,12,7,0,0,5,25,21.5,+25
73,2009-03-29,24-089,CLE,DAL,W (+28),31:19,9,22,.409,2,4,.500,4,5,.800,1,5,6,12,1,2,0,24,24.8,+15
74,2009-03-31,24-091,CLE,DET,W (+6),40:36,9,24,.375,0,2,.000,7,8,.875,1,11,12,3,3,1,1,25,20.2,+10
75,2009-04-02,24-093,CLE,WAS,L (-8),38:20,11,18,.611,4,8,.500,5,7,.714,1,8,9,6,0,0,6,31,22.9,-13
76,2009-04-03,24-094,CLE,ORL,L (-29),32:00,7,20,.350,2,5,.400,10,10,1.000,1,8,9,5,1,0,2,26,20.0,-26
77,2009-04-05,24-096,CLE,SAS,W (+20),36:43,14,21,.667,2,5,.400,8,8,1.000,0,7,7,6,1,0,2,38,33.8,+7
78,2009-04-08,24-099,CLE,WAS,W (+12),30:51,7,15,.467,0,2,.000,7,8,.875,0,6,6,7,3,0,2,21,20.2,+25
79,2009-04-10,24-101,CLE,PHI,W (+10),36:34,8,17,.471,1,4,.250,10,12,.833,0,2,2,10,0,1,1,27,23.2,+8
80,2009-04-12,24-103,CLE,BOS,W (+31),30:22,9,14,.643,5,8,.625,6,6,1.000,0,4,4,7,1,1,5,29,25.2,+21
81,2009-04-13,24-104,CLE,IND,W (+8),38:42,12,23,.522,2,7,.286,11,14,.786,0,5,5,5,1,0,5,37,25.1,+8
1,2009-10-27,24-301,CLE,BOS,L (-6),44:55,12,22,.545,4,9,.444,10,13,.769,0,4,4,8,2,4,5,38,31.2,0
2,2009-10-28,24-302,CLE,TOR,L (-10),39:47,7,19,.368,1,5,.200,8,14,.571,2,9,11,12,2,0,4,23,20.2,+2
3,2009-10-30,24-304,CLE,MIN,W (+17),33:26,10,18,.556,2,3,.667,2,3,.667,2,7,9,6,1,1,2,24,22.0,+17
4,2009-10-31,24-305,CLE,CHA,W (+11),37:14,5,11,.455,0,1,.000,4,6,.667,1,6,7,9,0,0,4,14,11.9,+19
5,2009-11-03,24-308,CLE,WAS,W (+12),35:59,7,16,.438,2,7,.286,11,13,.846,3,5,8,6,3,0,4,27,24.6,+5
6,2009-11-05,24-310,CLE,CHI,L (-1),38:13,9,17,.529,1,4,.250,6,9,.667,0,7,7,6,1,1,3,25,20.5,-1
7,2009-11-06,24-311,CLE,NYK,W (+9),35:37,12,17,.706,2,4,.500,7,9,.778,0,8,8,9,3,0,7,33,28.6,+8
8,2009-11-11,24-316,CLE,ORL,W (+9),39:07,13,23,.565,2,3,.667,8,9,.889,2,6,8,4,1,0,4,36,26.9,+7
9,2009-11-12,24-317,CLE,MIA,W (+7),38:53,8,20,.400,2,4,.500,16,18,.889,1,3,4,7,2,1,2,34,28.8,+6
10,2009-11-14,24-319,CLE,UTA,W (+4),37:33,6,15,.400,0,3,.000,9,12,.750,0,6,6,9,2,1,2,21,20.1,+6
11,2009-11-17,24-322,CLE,GSW,W (+6),38:32,11,19,.579,1,5,.200,8,10,.800,0,5,5,12,1,2,2,31,30.8,+8
12,2009-11-18,24-323,CLE,WAS,L (-17),35:08,12,20,.600,3,7,.429,7,8,.875,0,2,2,9,2,0,6,34,25.7,-12
13,2009-11-20,24-325,CLE,IND,W (+10),37:53,13,25,.520,1,3,.333,13,14,.929,2,7,9,7,1,1,2,40,35.0,+4
14,2009-11-21,24-326,CLE,PHI,W (+6),38:32,13,20,.650,2,4,.500,4,6,.667,0,7,7,9,0,0,5,32,24.6,+11
15,2009-11-25,24-330,CLE,DET,W (+10),38:49,12,24,.500,1,4,.250,9,11,.818,1,7,8,7,1,0,5,34,24.1,+12
16,2009-11-27,24-332,CLE,CHA,L (-7),38:01,10,19,.526,2,7,.286,3,4,.750,0,6,6,4,0,0,6,25,12.3,+3
17,2009-11-28,24-333,CLE,DAL,W (+16),36:21,10,20,.500,0,2,.000,5,7,.714,0,5,5,12,0,0,1,25,22.3,+8
18,2009-12-02,24-337,CLE,PHO,W (+17),34:37,6,15,.400,0,3,.000,0,0,,1,7,8,10,1,1,3,12,12.4,+19
19,2009-12-04,24-339,CLE,CHI,W (+14),34:12,8,17,.471,1,3,.333,6,10,.600,0,6,6,11,0,0,1,23,20.8,+19
20,2009-12-06,24-341,CLE,MIL,W (+15),32:18,4,10,.400,0,0,,6,7,.857,1,4,5,10,1,1,5,14,13.0,+8
21,2009-12-08,24-343,CLE,MEM,L (-2),44:47,14,29,.483,4,11,.364,11,12,.917,4,9,13,6,0,1,5,43,32.5,+6
22,2009-12-09,24-344,CLE,HOU,L (-10),39:40,8,21,.381,2,4,.500,9,10,.900,1,5,6,7,1,1,5,27,18.1,-13
23,2009-12-11,24-346,CLE,POR,W (+5),37:36,14,24,.583,1,2,.500,4,6,.667,1,6,7,7,1,2,4,33,26.4,+8
24,2009-12-13,24-348,CLE,OKC,W (+13),38:35,16,29,.552,5,8,.625,7,10,.700,0,7,7,6,4,1,1,44,38.5,+13
25,2009-12-15,24-350,CLE,NJN,W (+10),40:28,9,19,.474,1,5,.200,4,6,.667,1,5,6,7,2,0,6,23,14.4,+7
26,2009-12-16,24-351,CLE,PHI,W (+7),40:17,12,26,.462,3,6,.500,9,11,.818,1,5,6,7,3,1,3,36,28.8,+10
27,2009-12-18,24-353,CLE,MIL,W (+3),38:22,6,13,.462,2,4,.500,12,14,.857,1,9,10,8,0,3,6,26,23.2,+3
28,2009-12-20,24-355,CLE,DAL,L (-7),43:05,9,23,.391,2,6,.333,5,7,.714,0,3,3,6,2,2,2,25,17.0,-5
29,2009-12-21,24-356,CLE,PHO,W (+18),38:26,11,21,.524,1,3,.333,6,6,1.000,1,5,6,4,2,0,3,29,21.5,+26
30,2009-12-23,24-358,CLE,SAC,W (+13),43:41,14,30,.467,1,4,.250,5,7,.714,4,12,16,10,0,0,2,34,28.8,+26
31,2009-12-25,24-360,CLE,LAL,W (+15),40:44,9,19,.474,2,7,.286,6,11,.545,0,4,4,9,2,1,7,26,16.3,+8
32,2009-12-27,24-362,CLE,HOU,W (+25),29:26,12,20,.600,2,5,.400,3,4,.750,2,3,5,6,3,1,1,29,28.6,+16
33,2009-12-29,24-364,CLE,ATL,W (+11),39:36,6,20,.300,0,5,.000,2,3,.667,1,7,8,10,5,1,4,14,12.7,+6
34,2009-12-30,25-000,CLE,ATL,W (+5),43:12,15,23,.652,4,6,.667,14,16,.875,3,7,10,6,2,2,3,48,44.7,+7
35,2010-01-02,25-003,CLE,NJN,W (+8),36:27,7,16,.438,1,4,.250,13,15,.867,1,8,9,7,1,2,1,28,28.2,+10
36,2010-01-03,25-004,CLE,CHA,L (-3),42:51,13,21,.619,2,6,.333,1,2,.500,0,7,7,6,1,1,1,29,24.9,-2
37,2010-01-06,25-007,CLE,WAS,W (+23),30:50,7,12,.583,1,4,.250,8,11,.727,2,5,7,8,1,2,1,23,26.1,+16
38,2010-01-08,25-009,CLE,DEN,L (-2),41:18,12,28,.429,2,8,.250,9,13,.692,2,4,6,7,1,0,8,35,18.7,+6
39,2010-01-10,25-011,CLE,POR,W (+12),45:16,13,19,.684,3,4,.750,12,14,.857,0,10,10,8,0,1,3,41,38.0,+16
40,2010-01-11,25-012,CLE,GSW,W (+3),41:37,12,23,.522,1,4,.250,12,14,.857,1,7,8,11,2,4,2,37,37.8,+12
41,2010-01-14,25-015,CLE,UTA,L (-1),40:25,12,20,.600,4,6,.667,8,12,.667,1,8,9,6,5,1,5,36,32.8,+7
42,2010-01-16,25-017,CLE,LAC,W (+1),38:54,12,20,.600,3,6,.500,5,7,.714,2,2,4,4,2,1,5,32,23.3,-1
43,2010-01-19,25-020,CLE,TOR,W (+8),41:01,8,18,.444,0,7,.000,12,14,.857,0,9,9,11,3,3,3,28,29.9,+12
44,2010-01-21,25-022,CLE,LAL,W (+6),40:24,13,25,.520,1,9,.111,10,13,.769,0,5,5,9,2,1,4,37,28.8,+5
45,2010-01-23,25-024,CLE,OKC,W (+1),42:38,9,19,.474,6,10,.600,13,19,.684,0,9,9,12,1,1,6,37,30.9,-1
46,2010-01-25,25-026,CLE,MIA,W (+1),38:31,9,23,.391,2,9,.222,12,17,.706,0,9,9,4,1,0,4,32,18.8,+1
47,2010-01-27,25-028,CLE,MIN,W (+14),30:33,3,8,.375,1,3,.333,5,6,.833,0,6,6,11,1,1,3,12,15.0,+16
48,2010-01-29,25-030,CLE,IND,W (+21),35:39,6,18,.333,0,4,.000,10,17,.588,0,9,9,13,2,4,5,22,19.8,+22
49,2010-01-31,25-032,CLE,LAC,W (+25),39:55,10,20,.500,5,6,.833,7,8,.875,1,2,3,11,1,0,1,32,30.2,+15
50,2010-02-02,25-034,CLE,MEM,W (+16),37:07,7,14,.500,1,4,.250,7,7,1.000,1,5,6,15,1,1,4,22,24.6,+19
51,2010-02-04,25-036,CLE,MIA,W (+16),40:06,9,16,.563,1,4,.250,17,21,.810,2,5,7,8,2,0,4,36,32.9,+20
52,2010-02-06,25-038,CLE,NYK,W (+7),43:51,17,31,.548,6,12,.500,7,7,1.000,1,7,8,8,5,0,5,47,39.7,+4
53,2010-02-09,25-041,CLE,NJN,W (+7),42:21,13,21,.619,1,4,.250,5,9,.556,0,3,3,11,1,0,3,32,27.5,-2
54,2010-02-11,25-043,CLE,ORL,W (+9),45:05,10,21,.476,2,6,.333,10,12,.833,1,7,8,13,2,0,3,32,30.6,+16
55,2010-02-18,25-050,CLE,DEN,L (-2),47:00,15,33,.455,1,9,.111,12,17,.706,1,12,13,15,2,4,3,43,40.1,-5
56,2010-02-19,25-051,CLE,CHA,L (-17),35:30,6,14,.429,2,6,.333,8,10,.800,1,2,3,9,4,0,2,22,22.6,-2
57,2010-02-21,25-053,CLE,ORL,L (-6),39:23,12,25,.480,1,6,.167,8,12,.667,0,9,9,6,2,1,5,33,23.3,-9
58,2010-02-23,25-055,CLE,NOH,W (+10),44:07,7,16,.438,2,6,.333,4,4,1.000,1,4,5,13,2,0,0,20,24.6,+17
59,2010-02-25,25-057,CLE,BOS,W (+20),35:57,11,23,.478,3,6,.500,11,15,.733,1,6,7,9,0,0,2,36,28.7,+9
60,2010-02-26,25-058,CLE,TOR,W (+8),44:24,10,17,.588,1,4,.250,15,16,.938,0,6,6,9,2,0,1,36,36.0,+8
61,2010-03-01,25-061,CLE,NYK,W (+31),31:14,9,17,.529,1,4,.250,3,5,.600,0,7,7,7,2,2,3,22,20.3,+39
62,2010-03-03,25-063,CLE,NJN,W (+19),40:41,10,18,.556,0,4,.000,6,7,.857,2,5,7,14,3,1,3,26,30.0,+18
63,2010-03-05,25-065,CLE,DET,W (+7),41:52,16,27,.593,3,7,.429,5,6,.833,2,11,13,6,3,2,4,40,36.0,+12
64,2010-03-12,25-072,CLE,PHI,W (+5),42:06,7,18,.389,3,10,.300,6,12,.500,0,6,6,10,1,3,1,23,20.9,+2
65,2010-03-14,25-074,CLE,BOS,W (+11),38:52,9,21,.429,1,3,.333,11,16,.688,3,5,8,7,2,3,2,30,26.7,+3
66,2010-03-16,25-076,CLE,DET,W (+12),43:07,10,22,.455,1,3,.333,8,11,.727,2,10,12,12,1,1,4,29,26.9,+13
67,2010-03-17,25-077,CLE,IND,W (+5),38:43,11,24,.458,2,4,.500,8,10,.800,1,8,9,9,3,2,6,32,25.8,+14
68,2010-03-19,25-079,CLE,CHI,W (+7),37:31,9,21,.429,0,3,.000,11,12,.917,1,10,11,7,2,2,5,29,24.1,+5
69,2010-03-21,25-081,CLE,DET,W (+25),30:48,5,9,.556,2,3,.667,3,3,1.000,0,3,3,7,0,1,0,15,17.2,+17
70,2010-03-24,25-084,CLE,NOH,W (+13),40:45,15,22,.682,1,5,.200,7,8,.875,2,4,6,9,1,0,3,38,34.3,+9
71,2010-03-26,25-086,CLE,SAS,L (-5),39:18,11,21,.524,1,6,.167,4,7,.571,0,5,5,10,2,0,5,27,20.2,-5
72,2010-03-28,25-088,CLE,SAC,W (+7),39:05,13,22,.591,3,6,.500,5,6,.833,1,6,7,8,3,0,3,34,30.7,+8
73,2010-03-31,25-091,CLE,MIL,W (+3),39:05,7,17,.412,0,1,.000,9,13,.692,1,8,9,7,1,1,4,23,17.2,+10
74,2010-04-02,25-093,CLE,ATL,W (+5),38:22,11,20,.550,1,3,.333,4,7,.571,0,13,13,6,2,0,2,27,23.9,+11
75,2010-04-04,25-095,CLE,BOS,L (-4),44:32,14,31,.452,0,9,.000,14,22,.636,1,6,7,9,1,1,3,42,30.2,-1
76,2010-04-06,25-097,CLE,TOR,W (+12),35:34,5,13,.385,0,2,.000,9,10,.900,0,6,6,13,0,1,4,19,18.7,+19
1,2010-10-26,25-300,MIA,BOS,L (-8),42:39,10,21,.476,3,6,.500,8,12,.667,0,4,4,3,1,2,8,31,16.0,+1
2,2010-10-27,25-301,MIA,PHI,W (+10),37:33,5,12,.417,0,2,.000,6,6,1.000,0,6,6,7,2,1,9,16,9.6,+6
3,2010-10-29,25-303,MIA,ORL,W (+26),30:02,6,13,.462,2,3,.667,1,2,.500,0,6,6,7,0,0,3,15,10.0,+13
4,2010-10-31,25-305,MIA,NJN,W (+23),28:57,5,12,.417,0,4,.000,10,12,.833,0,7,7,7,2,0,5,20,15.6,+18
5,2010-11-02,25-307,MIA,MIN,W (+32),32:26,7,12,.583,0,2,.000,6,8,.750,0,0,0,12,2,1,1,20,23.7,+32
6,2010-11-05,25-310,MIA,NOH,L (-3),41:12,6,16,.375,1,2,.500,7,8,.875,0,7,7,10,3,1,3,20,20.6,-6
7,2010-11-06,25-311,MIA,NJN,W (+12),33:35,9,16,.563,2,4,.500,3,5,.600,0,3,3,9,2,0,4,23,19.4,+11
8,2010-11-09,25-314,MIA,UTA,L (-2),46:44,5,18,.278,0,1,.000,10,11,.909,2,9,11,14,1,3,2,20,22.8,+4
9,2010-11-11,25-316,MIA,BOS,L (-5),44:28,9,21,.429,0,5,.000,17,22,.773,0,10,10,9,3,0,4,35,29.0,0
10,2010-11-13,25-318,MIA,TOR,W (+9),39:20,8,21,.381,0,1,.000,7,11,.636,1,1,2,11,2,0,3,23,17.6,+11
11,2010-11-17,25-322,MIA,PHO,W (+27),23:03,9,15,.600,0,2,.000,2,3,.667,3,5,8,9,3,0,3,20,20.6,+24
12,2010-11-19,25-324,MIA,CHA,W (+8),39:29,12,25,.480,2,5,.400,6,7,.857,0,2,2,5,2,0,4,32,20.6,+4
13,2010-11-20,25-325,MIA,MEM,L (-2),42:06,11,23,.478,2,4,.500,5,6,.833,0,3,3,11,1,0,4,29,21.7,-1
14,2010-11-22,25-327,MIA,IND,L (-16),41:34,6,14,.429,2,8,.250,11,15,.733,0,5,5,6,1,0,6,25,15.5,-1
15,2010-11-24,25-329,MIA,ORL,L (-9),40:44,9,18,.500,1,3,.333,6,8,.750,1,5,6,4,1,0,3,25,17.0,-15
